GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Male; Estimate; Population 25 years and over,Male; Margin of Error; Population 25 years and over,Female; Estimate; Population 25 years and over,Female; Margin of Error; Population 25 years and over,Total; Estimate; Less than 9th grade,Total; Margin of Error; Less than 9th grade,Male; Estimate; Less than 9th grade,Male; Margin of Error; Less than 9th grade,Female; Estimate; Less than 9th grade,Female; Margin of Error; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma","Total; Margin of Error; 9th to 12th grade, no diploma","Male; Estimate; 9th to 12th grade, no diploma","Male; Margin of Error; 9th to 12th grade, no diploma","Female; Estimate; 9th to 12th grade, no diploma","Female; Margin of Error; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),Total; Margin of Error; High school graduate (includes equivalency),Male; Estimate; High school graduate (includes equivalency),Male; Margin of Error; High school graduate (includes equivalency),Female; Estimate; High school graduate (includes equivalency),Female; Margin of Error; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree","Total; Margin of Error; Some college, no degree","Male; Estimate; Some college, no degree","Male; Margin of Error; Some college, no degree","Female; Estimate; Some college, no degree","Female; Margin of Error; Some college, no degree",Total; Estimate; Associate's degree,Total; Margin of Error; Associate's degree,Male; Estimate; Associate's degree,Male; Margin of Error; Associate's degree,Female; Estimate; Associate's degree,Female; Margin of Error; Associate's degree,Total; Estimate; Bachelor's degree,Total; Margin of Error; Bachelor's degree,Male; Estimate; Bachelor's degree,Male; Margin of Error; Bachelor's degree,Female; Estimate; Bachelor's degree,Female; Margin of Error; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Margin of Error; Graduate or professional degree,Male; Estimate; Graduate or professional degree,Male; Margin of Error; Graduate or professional degree,Female; Estimate; Graduate or professional degree,Female; Margin of Error; Graduate or professional degree
0400000US01,01,Alabama,3108132,1170,1469369,1015,1638763,852,6.3,0.1,6.9,0.2,5.8,0.1,12.3,0.1,12.5,0.2,12.2,0.2,31.8,0.2,32.1,0.3,31.4,0.2,21.0,0.2,20.4,0.2,21.6,0.2,6.9,0.1,6.0,0.1,7.7,0.1,13.8,0.1,14.2,0.2,13.5,0.2,7.9,0.1,8.0,0.1,7.8,0.1
0400000US02,02,Alaska,429979,740,221996,610,207983,619,3.5,0.2,3.5,0.2,3.5,0.3,5.8,0.2,6.1,0.3,5.4,0.3,27.4,0.4,29.6,0.6,25.0,0.6,28.3,0.5,27.8,0.6,28.8,0.6,8.0,0.2,7.6,0.3,8.5,0.4,17.4,0.4,15.7,0.5,19.3,0.5,9.6,0.3,9.7,0.4,9.4,0.4
0400000US04,04,Arizona,4017638,744,1962566,636,2055072,362,6.6,0.1,6.8,0.1,6.5,0.1,8.4,0.1,8.7,0.2,8.2,0.1,25.1,0.2,24.7,0.3,25.4,0.2,25.5,0.2,24.9,0.2,26.2,0.2,8.0,0.1,7.4,0.1,8.5,0.1,16.7,0.1,17.2,0.2,16.3,0.2,9.6,0.1,10.3,0.2,8.9,0.1
0400000US05,05,Arkansas,1885607,1212,904549,990,981058,907,6.9,0.1,7.4,0.2,6.4,0.2,11.2,0.2,11.6,0.2,10.8,0.2,35.3,0.3,35.9,0.4,34.8,0.3,21.6,0.2,21.0,0.3,22.3,0.3,5.8,0.1,4.8,0.2,6.8,0.2,12.8,0.2,12.8,0.2,12.7,0.2,6.4,0.1,6.5,0.1,6.2,0.2
0400000US06,06,California,23497945,1005,11459039,949,12038906,762,10.4,0.1,10.2,0.1,10.6,0.1,8.9,0.1,9.4,0.1,8.4,0.1,21.5,0.1,21.5,0.1,21.5,0.1,21.5,0.1,20.9,0.1,22.0,0.1,7.7,0.1,7.1,0.1,8.2,0.1,19.2,0.1,19.1,0.1,19.3,0.1,10.8,0.1,11.8,0.1,9.9,0.1
0400000US08,08,Colorado,3201139,1104,1579363,1062,1621776,839,4.4,0.1,4.6,0.1,4.1,0.1,6.3,0.1,6.6,0.2,6.1,0.1,23.3,0.2,23.5,0.2,23.2,0.2,22.3,0.2,21.6,0.2,23.1,0.2,7.7,0.1,7.1,0.1,8.3,0.1,23.0,0.2,23.0,0.2,23.1,0.2,12.9,0.1,13.6,0.2,12.1,0.1
0400000US09,09,Connecticut,2398283,372,1136020,291,1262263,350,4.7,0.1,4.8,0.2,4.6,0.1,7.0,0.1,7.2,0.2,6.7,0.1,28.6,0.2,28.8,0.3,28.4,0.3,17.3,0.2,16.8,0.3,17.8,0.2,7.3,0.1,6.1,0.2,8.4,0.2,19.9,0.2,20.5,0.3,19.3,0.2,15.3,0.2,15.9,0.2,14.8,0.2
0400000US10,10,Delaware,587903,205,277947,162,309956,153,4.2,0.2,4.7,0.3,3.8,0.2,8.7,0.3,9.2,0.4,8.3,0.4,32.2,0.4,31.7,0.6,32.6,0.6,19.8,0.3,19.6,0.5,20.0,0.4,7.4,0.2,6.4,0.3,8.3,0.3,16.6,0.3,16.5,0.4,16.7,0.4,11.1,0.3,11.8,0.4,10.4,0.3
0400000US11,11,District of Columbia,399457,117,187021,122,212436,103,5.0,0.3,5.4,0.4,4.7,0.3,8.5,0.4,8.2,0.6,8.7,0.4,19.9,0.5,19.6,0.8,20.2,0.7,14.2,0.4,13.3,0.6,15.1,0.5,3.1,0.2,2.8,0.3,3.5,0.3,22.0,0.4,22.8,0.6,21.2,0.5,27.2,0.4,28.0,0.6,26.6,0.5
